/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0.5400000000000003,-2.26466830974926e-08,0.5400000000000003,-1.744526718084773e-06,0.5400000000000003,-5.197609006103763e-05,0.5400000000000003,-0.0006789231912001646,0.5400000000000003,-0.001097357369286443,0.5400000000000003,-0.0002974277916765246
0.5500000000000003,-2.344362627057506e-08,0.5500000000000003,-1.798989262689383e-06,0.5500000000000003,-5.306585276498334e-05,0.5500000000000003,-0.000685007036910766,0.5500000000000003,-0.001106642866646407,0.5500000000000003,-0.0003009342040177896
0.5600000000000003,-2.426376238570465e-08,0.5600000000000003,-1.854782040055151e-06,0.5600000000000003,-5.416697404870523e-05,0.5600000000000003,-0.0006910498857822953,0.5600000000000003,-0.001115805525538738,0.5600000000000003,-0.0003044387798621861
0.5700000000000003,-2.51076970715079e-08,0.5700000000000003,-1.911932129096631e-06,0.5700000000000003,-5.527947441218824e-05,0.5700000000000003,-0.0006970534982586453,0.5700000000000003,-0.001124851797823815,0.5700000000000003,-0.0003079417611084638
0.5800000000000003,-2.597605216876548e-08,0.5800000000000003,-1.970467125431882e-06,0.5800000000000003,-5.640337484699367e-05,0.5800000000000003,-0.0007030195236099378,0.5800000000000003,-0.001133787598094612,0.5800000000000003,-0.0003114433806393866
0.5900000000000003,-2.686946615119127e-08,0.5900000000000003,-2.030415148066996e-06,0.5900000000000003,-5.753869679935122e-05,0.5900000000000003,-0.0007089495110384125,0.5900000000000003,-0.001142618367749988,0.5900000000000003,-0.0003149438629790153
0.6000000000000003,-2.778859455464501e-08,0.6000000000000003,-2.09180484593442e-06,0.6000000000000003,-5.86854621309064e-05,0.6000000000000003,-0.0007148449192381237,0.6000000000000003,-0.001151349129635833,0.6000000000000003,-0.0003184434250089319
0.6100000000000003,-2.873411041504427e-08,0.6100000000000003,-2.154665404288658e-06,0.6100000000000003,-5.984369307760826e-05,0.6100000000000003,-0.0007207071246738956,0.6100000000000003,-0.001159984534727914,0.6100000000000003,-0.0003219422768830502
0.6200000000000003,-2.970670471526327e-08,0.6200000000000003,-2.219026550961801e-06,0.6200000000000003,-6.101341220715276e-05,0.6200000000000003,-0.0007265374287927019,0.6200000000000003,-0.001168528902135586,0.6200000000000003,-0.000325440621742807
0.6300000000000003,-3.070708684128013e-08,0.6300000000000003,-2.284918562481614e-06,0.6300000000000003,-6.21946423753656e-05,0.6300000000000003,-0.0007323370643397013,0.6300000000000003,-0.001176986253512369,0.6300000000000003,-0.0003289386560186261
0.6400000000000003,-3.17359850478583e-08,0.6400000000000003,-2.352372270053359e-06,0.6400000000000003,-6.338740668185281e-05,0.6400000000000003,-0.0007381072009187874,0.6400000000000003,-0.001185360342782738,0.6400000000000003,-0.0003324365700147936
0.6500000000000004,-3.279414693403694e-08,0.6500000000000004,-2.421419065407114e-06,0.6500000000000004,-6.459172842521848e-05,0.6500000000000004,-0.0007438489499120243,0.6500000000000004,-0.001193654681940175,0.6500000000000004,-0.0003359345482578402
0.6600000000000004,-3.388233992870248e-08,0.6600000000000004,-2.492090906511228e-06,0.6600000000000004,-6.58076310581147e-05,0.6600000000000004,-0.0007495633688519278,0.6600000000000004,-0.001201872563540565,0.6600000000000004,-0.0003394327697729296
0.6700000000000004,-3.500135178653482e-08,0.6700000000000004,-2.564420323152289e-06,0.6700000000000004,-6.703513814235342e-05,0.6700000000000004,-0.0007552514653243074,0.6700000000000004,-0.001210017080405803,0.6700000000000004,-0.0003429314083252984
