/pmos/D (vsd_p=0) X,/pmos/D (vsd_p=0) Y,/pmos/D (vsd_p=0.2) X,/pmos/D (vsd_p=0.2) Y,/pmos/D (vsd_p=0.4) X,/pmos/D (vsd_p=0.4) Y,/pmos/D (vsd_p=0.6) X,/pmos/D (vsd_p=0.6) Y,/pmos/D (vsd_p=0.8) X,/pmos/D (vsd_p=0.8) Y,/pmos/D (vsd_p=1) X,/pmos/D (vsd_p=1) Y
0.6400000000000003,1.974684891910822e-09,0.6400000000000003,-0.0002175374878748321,0.6400000000000003,-0.0003100618141027903,0.6400000000000003,-0.0003910499244693971,0.6400000000000003,-0.0004695924064441411,0.6400000000000003,-0.0005477765470311941
0.6500000000000004,2.056446793024987e-09,0.6500000000000004,-0.000229107161864552,0.6500000000000004,-0.0003262332552133205,0.6500000000000004,-0.0004098854251544894,0.6500000000000004,-0.0004905276475553408,0.6500000000000004,-0.00057047712960214
0.6600000000000004,2.1404464678253e-09,0.6600000000000004,-0.0002407334515674585,0.6600000000000004,-0.0003426304882932769,0.6600000000000004,-0.0004289639350867756,0.6600000000000004,-0.0005117021221976777,0.6600000000000004,-0.0005934060277217387
0.6700000000000004,2.226720958919796e-09,0.6700000000000004,-0.0002523957239258756,0.6700000000000004,-0.0003592375014701713,0.6700000000000004,-0.0004482714574041449,0.6700000000000004,-0.0005331031375198284,0.6700000000000004,-0.0006165516838836419
0.6800000000000004,2.315307775357639e-09,0.6800000000000004,-0.0002640753600097936,0.6800000000000004,-0.0003760389443191021,0.6800000000000004,-0.0004677946802922182,0.6800000000000004,-0.0005547186491699318,0.6800000000000004,-0.0006399031355488737
0.6900000000000004,2.406244916049243e-09,0.6900000000000004,-0.0002757557216841059,0.6900000000000004,-0.0003930201050013285,0.6900000000000004,-0.0004875209453515431,0.6900000000000004,-0.0005765372256083611,0.6900000000000004,-0.0006634499791042794
0.7000000000000004,2.499570891285386e-09,0.7000000000000004,-0.0002874220669475298,0.7000000000000004,-0.000410166882887417,0.7000000000000004,-0.0005074382144163851,0.7000000000000004,-0.0005985480126763942,0.7000000000000004,-0.0006871823350964473
0.7100000000000004,2.59532474239503e-09,0.7100000000000004,-0.0002990614293729316,0.7100000000000004,-0.0004274657581084998,0.7100000000000004,-0.0005275350357031922,0.7100000000000004,-0.0006207406989168762,0.7100000000000004,-0.0007110908149804261
0.7200000000000004,2.693546059631358e-09,0.7200000000000004,-0.0003106624758350662,0.7200000000000004,-0.0004449037592231095,0.7200000000000004,-0.0005478005099751563,0.7200000000000004,-0.0006431054820120817,0.7200000000000004,-0.0007351664895382525
0.7300000000000004,2.794274998409424e-09,0.7300000000000004,-0.0003222153543219921,0.7300000000000004,-0.0004624684299663412,0.7300000000000004,-0.0005682242572481519,0.7300000000000004,-0.0006656330365970442,0.7300000000000004,-0.0007594008590555025
0.7400000000000004,2.897552294039507e-09,0.7400000000000004,-0.0003337115408247861,0.7400000000000004,-0.0004801477958611972,0.7400000000000004,-0.0005887963844294822,0.7400000000000004,-0.0006883144836202095,0.7400000000000004,-0.0007837858252917368
0.7500000000000004,3.003419275111084e-09,0.7500000000000004,-0.0003451436916048006,0.7500000000000004,-0.0004979303313166378,0.7500000000000004,-0.0006095074541709877,0.7500000000000004,-0.0007111413613543522,0.7500000000000004,-0.0008083136652405831
0.7600000000000005,3.111917875684941e-09,0.7600000000000005,-0.0003565055048367529,0.7600000000000005,-0.0005158049277102212,0.7600000000000005,-0.0006303484551289176,0.7600000000000005,-0.0007341055981063488,0.7600000000000005,-0.0008329770066450396
0.7700000000000005,3.22309064644827e-09,0.7700000000000005,-0.0003677915938256657,0.7700000000000005,-0.0005337608628520714,0.7700000000000005,-0.0006513107737516389,0.7700000000000005,-0.0007571994866312815,0.7700000000000005,-0.0008577688052114575
0.7800000000000005,3.336980764980802e-09,0.7800000000000005,-0.0003789973726856469,0.7800000000000005,-0.0005517877721478716,0.7800000000000005,-0.0006723861676598215,0.7800000000000005,-0.0007804156602162257,0.7800000000000005,-0.0008826823234501844
0.7900000000000005,3.453632045270376e-09,0.7900000000000005,-0.0003901189544784666,0.7900000000000005,-0.0005698756217183787,0.7900000000000005,-0.0006935667406399637,0.7900000000000005,-0.0008037470703013507,0.7900000000000005,-0.000907711111060583
0.8000000000000005,3.57308894660534e-09,0.8000000000000005,-0.0004011530612495281,0.8000000000000005,-0.0005880146836880833,0.8000000000000005,-0.000714844919238709,0.8000000000000005,-0.0008271869654197009,0.8000000000000005,-0.0009328489867719203
0.8100000000000005,3.695396581959167e-09,0.8100000000000005,-0.0004120969450806314,0.8100000000000005,-0.0006061955138227744,0.8100000000000005,-0.0007362134309204778,0.8100000000000005,-0.0008507288727001288,0.8100000000000005,-0.0009580900215486694
0.8200000000000005,3.820600725970641e-09,0.8200000000000005,-0.000422948319128887,0.8200000000000005,-0.0006244089316713535,0.8200000000000005,-0.0007576652837329848,0.8200000000000005,-0.000874366580357134,0.8200000000000005,-0.0009834285230682926
0.8300000000000005,3.948747822611072e-09,0.8300000000000005,-0.0004337052975816327,0.8300000000000005,-0.0006426460033479098,0.8300000000000005,-0.0007791937474128439,0.8300000000000005,-0.0008980941207272762,0.8300000000000005,-0.001008859021380845
0.8400000000000005,4.079884992618671e-09,0.8400000000000005,-0.0004443663434860689,0.8400000000000005,-0.0006608980270721659,0.8400000000000005,-0.0008007923358554197,0.8400000000000005,-0.0009219057550345791,0.8400000000000005,-0.001034376255662427
0.8500000000000005,4.214060040769508e-09,0.8500000000000005,-0.0004549302234800901,0.8500000000000005,-0.0006791565215664944,0.8500000000000005,-0.0008224547908686408,0.8500000000000005,-0.0009457959593262099,0.8500000000000005,-0.001059975161978168
0.8600000000000005,4.351321463045052e-09,0.8600000000000005,-0.0004653959685377757,0.8600000000000005,-0.0006974132173824762,0.8600000000000005,-0.0008441750671286389,0.8600000000000005,-0.0009697594114644678,0.8600000000000005,-0.001085650861974615
0.8700000000000006,4.491718453747085e-09,0.8700000000000006,-0.0004757628399366525,0.8700000000000006,-0.0007156600511964195,0.8700000000000006,-0.000865947318255351,0.8700000000000006,-0.0009937909791010355,0.8700000000000006,-0.001111398652426119
0.8800000000000006,4.635300912603127e-09,0.8800000000000006,-0.0004860302997464166,0.8800000000000006,-0.000733889163069108,0.8800000000000006,-0.00088776588392795,0.8800000000000006,-0.001017885708557573,0.8800000000000006,-0.001137213995564592
0.8900000000000006,4.782119451898433e-09,0.8900000000000006,-0.0004961979852261006,0.8900000000000006,-0.0007520928966089804,0.8900000000000006,-0.0009096252779628949,0.8900000000000006,-0.001042038814539854,0.8900000000000006,-0.001163092510126966
0.9000000000000006,4.932225403664378e-09,0.9000000000000006,-0.0005062656865963874,0.9000000000000006,-0.0007702638019100088,0.9000000000000006,-0.000931520177281004,0.9000000000000006,-0.001066245670616964,0.9000000000000006,-0.001189029963059481
0.9100000000000006,5.085670826947705e-09,0.9100000000000006,-0.0005162333277251792,0.9100000000000006,-0.0007883946410573762,0.9100000000000006,-0.0009534454116941623,0.9100000000000006,-0.001090501800401601,0.9100000000000006,-0.001215022261822675
0.9200000000000006,5.242508515180579e-09,0.9200000000000006,-0.0005261009493275626,0.9200000000000006,-0.0008064783959091676,0.9200000000000006,-0.0009753959544467591,0.9200000000000006,-0.001114802869372209,0.9200000000000006,-0.00124106544724542
0.9300000000000006,5.402792003667094e-09,0.9300000000000006,-0.000535868694336417,0.9300000000000006,-0.0008245082777759403,0.9300000000000006,-0.0009973669134515444,0.9300000000000006,-0.001139144677282194,0.9300000000000006,-0.001267155686880623
0.9400000000000006,5.566575577198981e-09,0.9400000000000006,-0.0005455367951477794,0.9400000000000006,-0.0008424777385388774,0.9400000000000006,-0.001019353523164331,0.9400000000000006,-0.001163523151105789,0.9400000000000006,-0.001293289268819058
0.9500000000000006,5.733914277809687e-09,0.9500000000000006,-0.0005551055624864398,0.9500000000000006,-0.0008603804826787596,0.9500000000000006,-0.001041351137046535,0.9500000000000006,-0.001187934338474391,0.9500000000000006,-0.001319462595920812
0.9600000000000006,5.90486391267433e-09,0.9600000000000006,-0.0005645753756728822,0.9600000000000006,-0.0008782104796397193,0.9600000000000006,-0.001063355220569079,0.9600000000000006,-0.00121237440156104,0.9600000000000006,-0.001345672180422955
0.9700000000000006,6.079481062160605e-09,0.9700000000000006,-0.0005739466741033058,0.9700000000000006,-0.000895961975929917,0.9700000000000006,-0.001085361344715513,0.9700000000000006,-0.001236839611374445,0.9700000000000006,-0.001371914638848181
0.9800000000000006,6.257823088033897e-09,0.9800000000000006,-0.0005832199497807867,0.9800000000000006,-0.0009136295063702878,0.9800000000000006,-0.001107365179946399,0.9800000000000006,-0.001261326342427368,0.9800000000000006,-0.001398186686964372
0.9900000000000007,6.439948141819123e-09,0.9900000000000007,-0.0005923957407581712,0.9900000000000007,-0.0009312079039436772,0.9900000000000007,-0.001129362490590903,0.9900000000000007,-0.001285831067747389,0.9900000000000007,-0.001424485135579051
1,6.62591517332021e-09,1,-0.0006014746253726736,1,-0.0009486923077682811,1,-0.001151349129635346,1,-0.00131035035420093,1,-0.001450806887209744
