/nmos/D (vds_n=0) X,/nmos/D (vds_n=0) Y,/nmos/D (vds_n=0.2) X,/nmos/D (vds_n=0.2) Y,/nmos/D (vds_n=0.4) X,/nmos/D (vds_n=0.4) Y,/nmos/D (vds_n=0.8) X,/nmos/D (vds_n=0.8) Y,/nmos/D (vds_n=1) X,/nmos/D (vds_n=1) Y,/nmos/D (vds_n=0.6) X,/nmos/D (vds_n=0.6) Y
0.8300000000000005,-5.062834607707732e-09,0.8300000000000005,0.001176192791900771,0.8300000000000005,0.001549252583537502,0.8300000000000005,0.001968473801846086,0.8300000000000005,0.002141259069892334,0.8300000000000005,0.001776573832850057
0.8400000000000005,-5.304246254621242e-09,0.8400000000000005,0.001205926508103482,0.8400000000000005,0.001592301149561787,0.8400000000000005,0.002019550235269479,0.8400000000000005,0.002194690455926151,0.8400000000000005,0.001824494127580068
0.8500000000000005,-5.555433367384998e-09,0.8500000000000005,0.001235359662228401,0.8500000000000005,0.001635345333431622,0.8500000000000005,0.002070676139537836,0.8500000000000005,0.002248167942851689,0.8500000000000005,0.001872458336589126
0.8600000000000005,-5.8167432032229e-09,0.8600000000000005,0.001264477937447809,0.8600000000000005,0.001678366846089712,0.8600000000000005,0.002121836973382444,0.8600000000000005,0.002301677984817239,0.8600000000000005,0.001920450743364666
0.8700000000000006,-6.088533863255704e-09,0.8700000000000006,0.001293268378795003,0.8700000000000006,0.001721348009409911,0.8700000000000006,0.00217301884957923,0.8700000000000006,0.00235520766021315,0.8700000000000006,0.001968456300737735
0.8800000000000006,-6.371174607697003e-09,0.8800000000000006,0.001321719323961111,0.8800000000000006,0.001764271729844609,0.8800000000000006,0.002224208509304898,0.8800000000000006,0.002408744646155564,0.8800000000000006,0.002016460605400742
0.8900000000000006,-6.665046179726663e-09,0.8900000000000006,0.001349820333092298,0.8900000000000006,0.001807121471768289,0.8900000000000006,0.002275393296591708,0.8900000000000006,0.002462277193241709,0.8900000000000006,0.002064449872303923
0.9000000000000006,-6.970541138092481e-09,0.9000000000000006,0.001377562118707351,0.9000000000000006,0.00184988123071964,0.9000000000000006,0.002326561133015111,0.9000000000000006,0.002515794100687938,0.9000000000000006,0.002112410909085827
0.9100000000000006,-7.288064198510662e-09,0.9100000000000006,0.001404936476636828,0.9100000000000006,0.001892535506731353,0.9100000000000006,0.00237770049273013,0.9100000000000006,0.002569284691945326,0.9100000000000006,0.002160331090674829
0.9200000000000006,-7.618032583953139e-09,0.9200000000000006,0.001431936218682296,0.9200000000000006,0.001935069277923471,0.9200000000000006,0.002428800377955265,0.9200000000000006,0.002622738790871972,0.9200000000000006,0.002208198334181241
0.9300000000000006,-7.960876383926021e-09,0.9300000000000006,0.001458555107514287,0.9300000000000006,0.001977467974523887,0.9300000000000006,0.002479850294987065,0.9300000000000006,0.002676146698526995,0.9300000000000006,0.002256001074182749
0.9400000000000006,-8.317038922858931e-09,0.9400000000000006,0.001484787794173224,0.9400000000000006,0.002019717453468238,0.9400000000000006,0.002530840230813941,0.9400000000000006,0.002729499170638372,0.9400000000000006,0.002303728238490007
0.9500000000000006,-8.686977137738932e-09,0.9500000000000006,0.001510629758409058,0.9500000000000006,0.002061803973721669,0.9500000000000006,0.002581760630384664,0.9500000000000006,0.002782787395784967,0.9500000000000006,0.002351369224464537
0.9600000000000006,-9.071161965135238e-09,0.9600000000000006,0.001536077251991498,0.9600000000000006,0.002103714172456608,0.9600000000000006,0.002632602374575087,0.9600000000000006,0.002836002974322484,0.9600000000000006,0.002398913875947749
0.9700000000000006,-9.470078737773684e-09,0.9700000000000006,0.001561127245040959,0.9700000000000006,0.002145435042214192,0.9700000000000006,0.002683356758885821,0.9700000000000006,0.002889137898073059,0.9700000000000006,0.002446352460847642
0.9800000000000006,-9.884227590830988e-09,0.9800000000000006,0.001585777375368079,0.9800000000000006,0.002186953909171912,0.9800000000000006,0.00273401547289426,0.9800000000000006,0.002942184530783875,0.9800000000000006,0.002493675649418679
0.9900000000000007,-1.031412387812863e-08,0.9900000000000007,0.001610025900763347,0.9900000000000007,0.002228258412636744,0.9900000000000007,0.002784570580476048,0.9900000000000007,0.002995135589304668,0.9900000000000007,0.0025408744932609
1,-1.076029859841756e-08,1,0.001633871654145727,1,0.002269336485880988,1,0.002835014500803569,1,0.0030479841253812,1,0.002587940405055337
